,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl
216,0.0,240.912839247,0.0,231.359483257,0.0,0.51011424504,0.0,0.48988575496,159.0,197.34936567,159.0,201.879137973,159.0,209.0,159.0,216.118504721,0.0,18.3804642327,0.0,24.2551734139,0.0,6.6248849559,0.0,17.7259062696,0,58.3338463338,0,141.979217907,0,52.9049626198,0,136.92430433
217,0.0,238.672810427,0.0,231.309624791,0.0,0.50783346896,0.0,0.49216653104,160.0,198.34936567,160.0,202.879137973,160.0,210.0,160.0,217.118504721,0.0,18.4037234678,0.0,24.3146334063,0.0,6.62497704067,0.0,17.7153566574,0,58.4735037787,0,142.069747829,0,53.0517158031,0,137.01565054
218,0.0,236.460086124,0.0,231.259610676,0.0,0.505559393247,0.0,0.494440606753,161.0,199.34936567,161.0,203.879137973,161.0,211.0,161.0,218.118504721,0.0,18.4267848176,0.0,24.3737702315,0.0,6.62506392029,0.0,17.7047823892,0,58.6123552778,0,142.158381311,0,53.1976063587,0,137.104902134
219,0.0,234.274279793,0.0,231.209441309,0.0,0.50329210061,0.0,0.49670789939,162.0,200.34936567,162.0,204.879137973,162.0,212.0,162.0,219.118504721,0.0,18.4496506665,0.0,24.4325863343,0.0,6.62514588308,0.0,17.6941838869,0,58.7504088876,0,142.24514188,0,53.3426430238,0,137.192090261
220,0.0,232.115010538,0.0,231.159117088,0.0,0.501031671523,0.0,0.498968328477,163.0,201.34936567,163.0,205.879137973,163.0,213.0,163.0,220.118504721,0.0,18.4723233623,0.0,24.4910841374,0.0,6.62522320181,0.0,17.6835615551,0,58.8876725005,0,142.330052625,0,53.4868343636,0,137.277245385
221,0.0,229.98190304,0.0,231.108638411,0.0,0.49877818425,0.0,0.50122181575,164.0,202.34936567,164.0,206.879137973,164.0,214.0,164.0,221.118504721,0.0,18.4948052172,0.0,24.5492660418,0.0,6.62529613447,0.0,17.6729157816,0,59.0241538509,0,142.413136209,0,53.6301887772,0,137.360397302
222,0.0,227.874587496,0.0,231.058005675,0.0,0.496531714868,0.0,0.503468285132,165.0,203.34936567,165.0,207.879137973,165.0,215.0,165.0,222.118504721,0.0,18.5170985079,0.0,24.6071344265,0.0,6.62536492508,0.0,17.6622469388,0,59.1598605201,0,142.494414882,0,53.7727145029,0,137.441575161
223,0.0,225.792699548,0.0,231.007219273,0.0,0.49429233729,0.0,0.50570766271,166.0,204.34936567,166.0,208.879137973,166.0,216.0,166.0,223.118504721,0.0,18.5392054768,0.0,24.6646916491,0.0,6.62542980437,0.0,17.6515553836,0,59.2947999423,0,142.573910488,0,53.914419624,0,137.520807483
224,0.0,223.735880221,0.0,230.956279602,0.0,0.492060123289,0.0,0.507939876711,167.0,205.34936567,167.0,209.879137973,167.0,217.0,167.0,224.118504721,0.0,18.5611283324,0.0,24.7219400457,0.0,6.62549099055,0.0,17.6408414591,0,59.428979409,0,142.651644476,0,54.0553120734,0,137.598122175
225,0.0,221.703775854,0.0,230.905187056,0.0,0.489835142523,0.0,0.510164857477,168.0,206.34936567,168.0,210.879137973,168.0,218.0,168.0,225.118504721,0.0,18.5828692496,0.0,24.7788819316,0.0,6.62554868992,0.0,17.6301054942,0,59.5624060744,0,142.727637914,0,54.1953996385,0,137.673546548
226,0.0,219.696038032,0.0,230.853942027,0.0,0.487617462558,0.0,0.512382537442,169.0,207.34936567,169.0,211.879137973,169.0,219.0,169.0,226.118504721,0.0,18.604430371,0.0,24.8355196009,0.0,6.62560309752,0.0,17.6193478053,0,59.6950869597,0,142.801911492,0,54.3346899664,0,137.747107334
227,0.0,217.712323521,0.0,230.802544908,0.0,0.485407148895,0.0,0.514592851105,170.0,208.34936567,170.0,212.879137973,170.0,220.0,170.0,227.118504721,0.0,18.6258138069,0.0,24.8918553269,0.0,6.62565439773,0.0,17.608568696,0,59.8270289579,0,142.874485536,0,54.4731905677,0,137.818830704
228,0.0,215.752294201,0.0,230.750996091,0.0,0.483204264991,0.0,0.516795735009,171.0,209.34936567,171.0,213.879137973,171.0,221.0,171.0,228.118504721,0.0,18.647021636,0.0,24.9478913626,0.0,6.62570276482,0.0,17.5977684584,0,59.9582388376,0,142.945380017,0,54.6109088216,0,137.88874228
229,0.0,213.815616999,0.0,230.699295966,0.0,0.481008872285,0.0,0.518991127715,172.0,210.34936567,172.0,214.879137973,172.0,222.0,172.0,229.118504721,0.0,18.668055906,0.0,25.0036299405,0.0,6.62574836352,0.0,17.5869473731,0,60.0887232477,0,143.014614557,0,54.7478519792,0,137.95686715
