,BA_Aw,BA_Sb,BA_Sw,BA_Pl
59,8.33581971333,0.0,4.5002099453,2.94168159078
60,8.69477809192,0.0,4.62988626455,2.98771953953
61,9.05887078038,0.0,4.75829502426,3.03217907094
62,9.42774940246,0.0,4.88528579075,3.07508534962
63,9.8010767351,0.0,5.01071991652,3.11646569119
64,10.1785266614,0.0,5.13447030807,3.156349207
65,10.5597840826,0.0,5.25642114909,3.19476648782
66,10.9445447936,0.0,5.37646758562,3.23174932264
67,11.3325153241,0.0,5.49451537938,3.26733044873
68,11.7234127507,0.0,5.61048053499,3.30154332986
69,12.1169644824,0.0,5.72428890608,3.3344219596
70,12.5129080226,0.0,5.83587578522,3.36600068721
71,12.9109907119,0.0,5.94518548185,3.3963140638
72,13.3109694555,0.0,6.05217089212,3.42539670653
73,13.7126104363,0.0,6.15679306409,3.45328317918
74,14.1156888196,0.0,6.25902076146,3.4800078873
75,14.5199884502,0.0,6.35883002846,3.50560498645
76,14.9253015457,0.0,6.45620375844,3.53010830225
77,15.3314283883,0.0,6.55113126822,3.553551261
78,15.7381770171,0.0,6.64360787999,3.57596682975
79,16.1453629228,0.0,6.73363451247,3.59738746492
80,16.5528087472,0.0,6.8212172824,3.61784506855
81,16.9603439881,0.0,6.90636711785,3.63737095136
82,17.3678047117,0.0,6.98909938383,3.65599580204
83,17.7750332725,0.0,7.06943352127,3.67374966193
84,18.1818780429,0.0,7.14739269979,3.69066190474
85,18.5881931518,0.0,7.22300348463,3.70676122055
86,18.9938382338,0.0,7.29629551813,3.72207560386
87,19.3986781881,0.0,7.36730121588,3.73663234505
88,19.8025829491,0.0,7.43605547754,3.75045802505
89,20.2054272664,0.0,7.50259541244,3.76357851272
90,20.6070904964,0.0,7.56696007969,3.77601896472
91,21.0074564043,0.0,7.62919024272,3.78780382758
92,21.4064129762,0.0,7.68932813794,3.79895684164
93,21.8038522417,0.0,7.74741725735,3.80950104679
94,22.1996701061,0.0,7.80350214455,3.81945878953
95,22.5937661921,0.0,7.85762820395,3.82885173151
96,22.9860436913,0.0,7.90984152278,3.83770085904
97,23.3764092234,0.0,7.96018870526,3.84602649364
98,23.7647727053,0.0,8.00871671881,3.85384830344
99,24.1510472264,0.0,8.05547275149,3.86118531523
100,24.5351489334,0.0,8.10050408052,3.86805592712
101,24.9169969206,0.0,8.14385795116,3.87447792169
102,25.2965131286,0.0,8.18558146559,3.88046847955
103,25.673622248,0.0,8.22572148133,3.88604419317
104,26.0482516297,0.0,8.26432451864,3.89122108099
105,26.4203312014,0.0,8.30143667649,3.89601460167
106,26.7897933881,0.0,8.33710355668,3.90043966846
107,27.1565730389,0.0,8.37137019555,3.90451066363
108,27.5206073573,0.0,8.40428100295,3.90824145292
109,27.8818358362,0.0,8.43587970793,3.91164539989
110,28.2402001972,0.0,8.46620931091,3.91473538031
111,28.5956443327,0.0,8.49531204171,3.91752379633
112,28.9481142523,0.0,8.52322932321,3.92002259058
113,29.2975580316,0.0,8.55000174025,3.92224326011
114,29.6439257645,0.0,8.5756690133,3.92419687008
115,29.9871695174,0.0,8.60026997671,3.92589406737
116,30.3272432866,0.0,8.62384256114,3.9273450938
117,30.6641029577,0.0,8.64642377978,3.92855979927
118,30.9977062663,0.0,8.66804971826,3.92954765457
119,31.328012762,0.0,8.68875552774,3.93031776393
120,31.6549837725,0.0,8.70857542109,3.93087887736
121,31.9785823705,0.0,8.72754267177,3.93123940261
122,32.2987733413,0.0,8.74568961532,3.931407417
123,32.6155231519,0.0,8.76304765308,3.93139067882
124,32.9287999212,0.0,8.77964725799,3.93119663851
125,33.2385733914,0.0,8.79551798233,3.93083244959
126,33.5448148996,0.0,8.8106884671,3.93030497923
127,33.8474973515,0.0,8.82518645292,3.92962081854
128,34.1465951948,0.0,8.83903879232,3.92878629263
129,34.4420843934,0.0,8.85227146317,3.92780747036
130,34.7339424027,0.0,8.86490958322,3.92669017372
131,35.0221481449,0.0,8.87697742549,3.92543998707
132,35.3066819853,0.0,8.88849843451,3.924062266
133,35.587525708,0.0,8.89949524321,3.92256214599
134,35.8646624933,0.0,8.90998969035,3.92094455068
135,36.1380768946,0.0,8.92000283847,3.91921420006
136,36.4077548154,0.0,8.9295549922,3.9173756182
137,36.673683487,0.0,8.93866571683,3.91543314087
138,36.9358514465,0.0,8.94735385711,3.91339092285
139,37.1942485146,0.0,8.95563755624,3.91125294499
140,37.4488657734,0.0,8.96353427487,3.90902302105
141,37.699695545,0.0,8.97106081017,3.90670480431
142,37.9467313696,0.0,8.97823331481,3.90430179391
143,38.1899679841,0.0,8.98506731595,3.90181734102
144,38.4294013003,0.0,8.991577734,3.89925465478
145,38.6650283839,0.0,8.9977789013,3.89661680797
146,38.8968474325,0.0,9.00368458052,3.89390674259
147,39.1248577551,0.0,9.00930798293,3.8911272751
148,39.34905975,0.0,9.0146617863,3.88828110161
149,39.569454884,0.0,9.01975815256,3.88537080275
150,39.7860456713,0.0,9.02460874524,3.88239884843
151,39.9988356517,0.0,9.0292247464,3.87936760245
152,40.2078293704,0.0,9.03361687342,3.87627932682
153,40.4130323559,0.0,9.03779539529,3.87313618607
154,40.6144510997,0.0,9.04177014862,3.86994025126
155,40.8120930349,0.0,9.04555055323,3.86669350392
156,41.0059665149,0.0,9.04914562739,3.86339783978
157,41.1960807933,0.0,9.05256400266,3.86005507245
158,41.3824460022,0.0,9.05581393836,3.8566669368
159,41.5650731315,0.0,9.0589033356,3.85323509236
160,41.7439740083,0.0,9.06183975098,3.84976112652
161,41.9191612761,0.0,9.06463040986,3.84624655759
162,42.0906483738,0.0,9.06728221924,3.84269283774
163,42.2584495157,0.0,9.06980178028,3.83910135588
164,42.4225796702,0.0,9.07219540039,3.83547344032
165,42.58305454,0.0,9.07446910499,3.83181036146
166,42.7398905414,0.0,9.07662864885,3.82811333421
167,42.893104784,0.0,9.07867952707,3.82438352044
168,43.0427150508,0.0,9.08062698571,3.82062203128
169,43.1887397779,0.0,9.08247603207,3.81682992933
170,43.3311980346,0.0,9.08423144455,3.81300823076
171,43.4701095038,0.0,9.08589778227,3.80915790735
172,43.6054944621,0.0,9.08747939423,3.80527988842
173,43.7373737603,0.0,9.08898042827,3.80137506274
174,43.8657688038,0.0,9.0904048396,3.79744428024
175,43.990701534,0.0,9.09175639905,3.7934883538
176,44.1121944084,0.0,9.09303870106,3.78950806083
