,BA_Aw,BA_Pl,BA_Sb,BA_Sw,BAinc_Aw,BAinc_Pl,BAinc_Sb,BAinc_Sw,N0_Aw,N0_Pl,N0_Sb,N0_Sw,N_Aw,N_Pl,N_Sb,N_Sw,PlotID,SDF_Aw,SDF_Pl,SDF_Sb,SDF_Sw,SI_Aw,SI_Pl,SI_Sb,SI_Sw,StumpDOB_Aw,StumpDOB_Pl,StumpDOB_Sb,StumpDOB_Sw,StumpHeight_Aw,StumpHeight_Pl,StumpHeight_Sb,StumpHeight_Sw,TopDib_Aw,TopDib_Pl,TopDib_Sb,TopDib_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,y2bh_Aw,y2bh_Pl,y2bh_Sb,y2bh_Sw
1124928,0.0,25.09008684,0.0,15.37779516,0.0,-0.0113867370262,0.0,0.0108118692055,0.0,11234.2583941,0.0,217.494028726,0.0,346.67638272,0.0,212.47907328,1124928.0,0.0,3874.98465174,0.0,216.468928377,11.545320835,13.1909498601,11.2022079105,12.8315018378,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,250.0,0.0,124.865065968,0.0,25.2609129898,0.0,25.260864935,0.0,7.96507282241,0.0,9.17805033525
1168535,0.0,13.02587328,0.0,2.48111872,0.0,0.230774669934,0.0,0.11203017582,0.0,1473.44953183,0.0,237.616236019,0.0,1244.24007456,0.0,236.99810944,1168535.0,0.0,1244.24007456,0.0,237.125818505,5.79385468,8.316826,8.08276864,7.17751816,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,50.0,0.0,57.1185047206,0.0,8.316826,0.0,8.31691202545,0.0,11.6506343303,0.0,14.2393667475
1168551,0.0,14.311261,0.0,0.0,0.0,0.234682533746,0.0,0.0,0.0,913.588765646,0.0,0.0,0.0,895.080358,0.0,0.0,1168551.0,0.0,861.554788442,0.0,0.0,4.17232075065,6.94264470394,7.20329261052,5.58346785657,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,33.0,0.0,0.0,0.0,4.43955099903,0.0,0.0,0.0,13.482537311,0.0,0.0
1168775,0.0,12.566423,0.0,0.0,0.0,0.128407774876,0.0,0.0,0.0,815.875454847,0.0,0.0,0.0,812.809706,0.0,0.0,1168775.0,0.0,777.788346215,0.0,0.0,4.45795307528,7.184705996,7.35821183744,5.86425895536,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,19.0,0.0,0.0,0.0,2.2505309991,0.0,0.0,0.0,13.1155249122,0.0,0.0
1168955,0.0,3.45,0.0,0.0,0.0,-0.0113581603728,0.0,0.0,0.0,106.398796334,0.0,0.0,0.0,25.69,0.0,0.0,1168955.0,0.0,106.392565309,0.0,0.0,6.90012055927,9.25433945701,8.68277725249,8.26503377013,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,250.0,0.0,0.0,0.0,20.4200000175,0.0,0.0,0.0,10.6788402737,0.0,0.0
1275880,1.7255664,0.4313916,0.0,0.0,0.203926005869,0.0978947417789,0.0,0.0,106.003265119,26.4964363878,0.0,0.0,105.9857232,26.4964308,0.0,0.0,1275880.0,105.379921164,26.4964308,0.0,0.0,8.45143233531,10.583717485,9.53357919041,8.43137635926,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,21.0,20.0446542586,0.0,0.0,3.88610199882,3.88613826423,0.0,0.0,7.55507913535,9.56406111761,0.0,0.0
1300922,0.0,15.99402651,0.0,4.77743649,0.0,0.191918493546,0.0,0.149524700574,0.0,1312.98110282,0.0,334.240904644,0.0,1112.25306885,0.0,332.23143615,1300922.0,0.0,1120.1338081,0.0,332.617256826,6.79193018008,9.16265269498,8.62409772479,8.15867712618,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,51.0,0.0,56.5830723113,0.0,9.32376400009,0.0,9.32378732429,0.0,10.7661498972,0.0,12.9677444692
1379023,40.01847124,18.83222176,0.0,0.0,-0.0800863391139,0.0140136532539,0.0,0.0,29669.5981507,3991.79913432,0.0,0.0,865.62514336,407.35300864,0.0,0.0,1379023.0,3376.83885521,1376.59039194,0.0,0.0,10.928616475,12.6893240037,10.8811673624,11.6764875822,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,120.0,98.9339937166,0.0,0.0,19.0987569934,19.0987002137,0.0,0.0,5.72584210263,8.22731712498,0.0,0.0
1379036,7.9477352,34.27460805,0.0,7.45100175,-0.0939952285843,-0.00561469815152,0.0,0.0202683046045,315.904706661,6264.66214925,0.0,127.736290645,133.99982192,577.87423203,0.0,125.62483305,1379036.0,281.167588811,2696.96258415,0.0,127.137491891,11.3352551441,13.0129280882,11.0882739764,12.6249965823,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,156.147571873,145.0,0.0,102.325721705,22.2894555639,22.2895549911,0.0,22.2894881054,5.49459793972,8.05609998196,0.0,9.29782679689
1469517,0.0,1.6575,0.0,0.5525,0.0,0.271195828348,0.0,0.0911054200081,0.0,190.266827369,0.0,63.4212091481,0.0,190.245,0.0,63.415,1469517.0,0.0,190.142282088,0.0,63.412159774,6.93435358507,9.28335049582,8.70134431733,8.29868657515,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,35.0,0.0,40.59480677,0.0,6.53999999873,0.0,6.54002003923,0.0,10.6515299745,0.0,12.8064047128
1503518,0.0,15.171189,0.0,0.0,0.0,0.00573766870043,0.0,0.0,0.0,387.818601786,0.0,0.0,0.0,339.060129,0.0,0.0,1503518.0,0.0,384.233821851,0.0,0.0,7.78954476333,10.0080887825,9.16517682079,9.13938298768,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,108.0,0.0,0.0,0.0,16.5038339948,0.0,0.0,0.0,10.0147187561,0.0,0.0
1530588,0.0,7.3758144,0.0,1.8439536,0.0,0.194581715116,0.0,0.0630450030822,0.0,397.970221186,0.0,99.3928761588,0.0,397.5230712,0.0,99.3807678,1530588.0,0.0,395.356247159,0.0,99.3732385764,3.94548922178,6.75041459473,7.08026534062,5.36048092988,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,30.0,0.0,38.0720885427,0.0,3.83522299933,0.0,3.83525215596,0.0,13.7903415486,0.0,17.5657655299
1541972,0.0,4.519938,0.0,0.0,0.0,0.427691362835,0.0,0.0,0.0,905.246426243,0.0,0.0,0.0,892.454397,0.0,0.0,1541972.0,0.0,839.623169046,0.0,0.0,6.62332877098,9.0197701449,8.53265289274,7.99293336808,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,26.0,0.0,0.0,0.0,4.48017999908,0.0,0.0,0.0,10.9053139318,0.0,0.0
1542128,0.0,5.34076587,0.0,0.40199313,0.0,0.124740699411,0.0,0.00387484981497,0.0,482.719956077,0.0,36.3175203001,0.0,482.50198062,0.0,36.31735338,1542128.0,0.0,476.071355985,0.0,36.3167315033,5.22200587115,7.83220836538,7.77261335384,6.61536170384,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,17.0,0.0,20.9695100447,0.0,2.13191499906,0.0,2.1318369401,0.0,12.2322267489,0.0,15.1042046121
1594749,0.0,0.0,0.0,16.15,0.0,0.0,0.0,9.55156379602e-05,0.0,0.0,0.0,265.806079849,0.0,0.0,0.0,250.34,1594749.0,0.0,0.0,0.0,264.607608823,9.60171606637,10.7206260751,9.62120068807,9.98910008733,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,29.0700000259,0.0,0.0,0.0,11.1514166299
1613773,1.85369808,18.5369808,0.0,10.50428912,-0.0767307208746,0.0286671661768,0.0,0.110368599241,50.813376592,607.607006859,0.0,290.155749657,49.31958318,493.1958318,0.0,279.47763802,1613773.0,50.7201822944,581.119007692,0.0,285.189438981,9.76694641674,11.6838528955,10.2376658531,11.0832693588,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,110.044865891,86.0,0.0,78.5100152874,16.7110501631,16.711140996,0.0,16.7111212956,6.47962585245,8.81253088388,0.0,10.2987824206
1614385,15.14227198,2.46502102,0.0,0.0,0.0932015075635,0.143954841788,0.0,0.0,1527.14063253,150.186866675,0.0,0.0,922.43508754,150.16385146,0.0,0.0,1614385.0,858.340504615,150.119797955,0.0,0.0,8.61065197538,10.7190541791,9.62019467461,8.63995408775,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,53.0,41.2084019491,0.0,0.0,9.01891900017,9.01883564603,0.0,0.0,7.40911065079,9.4641742119,0.0,0.0
1614424,7.20622386,2.62044504,0.0,1.0918521,0.154329535954,0.226709143188,0.0,0.0663104763957,964.419885613,297.538097939,0.0,124.05489652,817.46652306,297.26055384,0.0,123.8585641,1614424.0,682.8785575,295.963111781,0.0,123.81917531,7.38789213445,9.67970831428,8.95501332114,7.03813869613,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,41.0,32.1557734745,0.0,45.0750948321,6.24279199954,6.24277375764,0.0,6.24270689217,8.67714804702,10.2928455563,0.0,14.4430104134
1614860,23.48672764,4.32650246,0.0,3.0903589,-0.039646836927,0.0289857258119,0.0,0.048066041177,2859.11702823,91.5115177461,0.0,65.4457684888,496.16195224,91.39825436,0.0,65.2844674,1614860.0,1011.27049972,91.5040718879,0.0,65.3575123809,11.7970569344,13.4274983942,11.3535989723,12.814144584,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,89.0,72.5064262963,0.0,69.7101047716,17.1695299954,17.1694840076,0.0,17.1695065253,5.24923822602,7.84741279094,0.0,9.188015834
1841096,5.25945784,30.74759968,0.0,4.45031048,-0.0812051520047,0.0193639837168,0.0,0.0443333806328,131.066201006,1885.76745662,0.0,97.7314328928,114.80593839,671.17317828,0.0,97.14348633,1841096.0,128.914858889,1358.79490857,0.0,97.4972383593,11.2925234295,12.9767147707,11.0650974533,12.5829891341,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,118.694762078,99.0,0.0,83.7894703035,19.4467414028,19.4468109943,0.0,19.4467178587,5.51821340491,8.0748872374,0.0,9.32255007559
