,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,MerchantableVolumeAw,Gross_Total_Volume_Sw,MerchantableVolumeSw,Gross_Total_Volume_Sb,MerchantableVolumeSb,Gross_Total_Volume_Pl,MerchantableVolumePl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,MerchantableVolume_Con,MerchantableVolume_Dec,MerchantableVolume_Tot
25,161.916923409,3400.76578425,0,422.556400714,0.0406291615148,0.853340462585,0.0,0.1060303759,12.9863956545,-6.2784422109,-31.0,-1.6292274381,25.3514829555,6.0,-31.0,13.5450327329,2.75184507166,0.398458771484,0,1.08615849278,0.456852002337,0.0,0.0,0.0,0.0402916653702,7.38251465722e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0402916653702,0.0402916653702,,7.38251465722e-06,
26,161.905205861,3390.21294017,0,422.47135087,0.0407350761601,0.852971845976,0.0,0.106293077864,13.9863956545,-5.2784422109,-30.0,-0.6292274381,26.3514829555,7.0,-30.0,14.5450327329,2.85870745247,0.519227129197,0,1.21636404264,0.471495984246,0.0,0.0,0.0,0.0519613621148,1.15371417826e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0519613621148,0.0519613621148,,1.15371417826e-05,
27,161.892263326,3378.33291881,0,422.382081119,0.0408549857633,0.852553052668,0.0,0.106591961569,14.9863956545,-4.2784422109,-29.0,0.3707725619,27.3514829555,8.0,-29.0,15.5450327329,2.96482182458,0.65040994119,0,1.34980824786,0.486342899186,0.00102237938846,0.0,0.0,0.0656489246999,1.7535797406e-05,0.000631701544612,8.87170511483e-09,0.0,,0.0,0.0,0.000631701544612,0.0656489246999,0.0662806262445,,1.7535797406e-05,
28,161.878056762,3365.1543517,0,422.288660332,0.0409888317364,0.852084267924,0.0,0.10692690034,15.9863956545,-3.2784422109,-28.0,1.3707725619,28.3514829555,9.0,-28.0,16.5450327329,3.07018992492,0.790637969712,0,1.48614389166,0.501475656727,0.00134632888132,0.0,0.0,0.0814658134241,2.60091539272e-05,0.000909099082308,1.94020126592e-08,0.0,,0.0,0.0,0.000909099082308,0.0814658134241,0.0823749125064,,2.60091539272e-05,
29,161.862548456,3350.70861962,0,422.191152915,0.0411365503814,0.851565697309,0.0,0.10729775231,16.9863956545,-2.2784422109,-27.0,2.3707725619,29.3514829555,10.0,-27.0,17.5450327329,3.1748146382,0.938714069666,0,1.62506189041,0.51693837134,0.00246093911503,0.0,0.0,0.0995070563454,3.7746258829e-05,0.00179399827744,7.7177847636e-08,0.0,,0.0,0.0,0.00179399827744,0.0995070563454,0.101301054623,,3.7746258829e-05,
30,161.845701919,3335.02967387,0,422.089619375,0.0412980728632,0.850997566446,0.0,0.107704360691,17.9863956545,-1.2784422109,-26.0,3.3707725619,30.3514829555,11.0,-26.0,18.5450327329,3.27869979565,1.09358449529,0,1.76628565553,0.532742824367,0.00496478199898,0.0,0.0,0.119850143052,5.37189576781e-05,0.00387807648319,3.63558034867e-07,0.0,,0.0,0.0,0.00387807648319,0.119850143052,0.123728219535,,5.37189576781e-05,
31,161.827481792,3318.15384569,0,421.98411679,0.0414733252007,0.850380120757,0.0,0.108146554042,18.9863956545,-0.2784422109,-25.0,4.3707725619,31.3514829555,12.0,-25.0,19.5450327329,3.38185000787,1.25431652373,0,1.90956652413,0.548874246272,0.00952056266089,0.0,0.0,0.142553761901,7.51059084069e-05,0.00793406865925,1.53391585613e-06,0.0,,0.0,0.0,0.00793406865925,0.142553761901,0.15048783056,,7.51059084069e-05,
32,161.807853778,3300.11964603,0,421.874699202,0.0416622282718,0.849713625187,0.0,0.108624146541,19.9863956545,0.7215577891,-24.0,5.3707725619,32.3514829555,13.0,-24.0,20.5450327329,3.48427052554,1.4200807754,0,2.05468001538,0.565296491039,0.0168255474897,0.0,0.11234055552,0.167656532382,0.00010331490924,0.0149112452194,5.47780744524e-06,0.0,,0.0275711748061,9.32307674571e-10,0.0424824200255,0.167656532382,0.210138952407,,0.00010331490924,
33,161.786784567,3280.96755782,0,421.76141795,0.0418646978303,0.848998363907,0.0,0.109136938263,20.9863956545,1.7215577891,-23.0,6.3707725619,33.3514829555,14.0,-23.0,21.5450327329,3.58596712277,1.59013703729,0,2.20142273325,0.581956639611,0.0275910524401,0.0,0.373783426499,0.195175887936,0.000140002128653,0.0259284674589,1.67923877141e-05,0.0,,0.118539395323,1.41754169169e-07,0.144467862782,0.195175887936,0.339643750718,,0.000140002128653,
34,161.764241785,3260.73982265,0,421.644321956,0.0420806445343,0.848234640003,0.0,0.109684715462,21.9863956545,2.7215577891,-22.0,7.3707725619,34.3514829555,15.0,-22.0,22.5450327329,3.68694599943,1.76382272602,0,2.34960978078,0.598789054832,0.042527942821,0.0,0.769395255986,0.225107238796,0.000187086765894,0.0422651476349,4.53284455793e-05,0.0,,0.305904273192,3.1594510163e-06,0.348169420827,0.225107238796,0.573276659624,,0.000187086765894,
35,161.740193938,3239.4802241,0,421.523457963,0.0423099739831,0.847422775153,0.0,0.110267250864,22.9863956545,3.7215577891,-21.0,8.3707725619,35.3514829555,16.0,-21.0,23.5450327329,3.78721369878,1.94054336717,0,2.49907258362,0.615718908013,0.0623363911756,0.0,1.26764000285,0.257423503727,0.000246759690899,0.0653510416574,0.000110231741662,0.0,,0.614406368332,2.85058396803e-05,0.67975740999,0.257423503727,0.937180913717,,0.000246759690899,
36,161.714610369,3217.23386951,0,421.398870751,0.0425525867635,0.846563109284,0.0,0.110884303952,23.9863956545,4.7215577891,-20.0,9.3707725619,36.3514829555,17.0,-20.0,24.5450327329,3.88677703815,2.11976463639,0,2.64965704401,0.632665201185,0.0876987170669,0.0,1.83909738715,0.292075055475,0.000321484712477,0.0967554115666,0.000245948424299,0.0,,1.060517335,0.000152127736026,1.15727274656,0.292075055475,1.44934780204,,0.000321484712477,
37,161.687461219,3194.0469721,0,421.270603317,0.0428083785039,0.845656000222,0.0,0.111535621274,24.9863956545,5.7215577891,-19.0,10.3707725619,37.3514829555,18.0,-19.0,25.5450327329,3.98564305031,2.30100562825,0,2.80122196425,0.649543315376,0.119274438046,0.0,2.46114889124,0.328990084679,0.000413991297349,0.138175855034,0.000510685252003,0.0,,1.65390237676,0.000578586290159,1.7920782318,0.328990084679,2.12106831647,,0.000413991297349,
38,161.658717391,3169.9666353,0,421.138697036,0.0430772399355,0.844701823321,0.0,0.112220936743,25.9863956545,6.7215577891,-18.0,11.3707725619,38.3514829555,19.0,-18.0,26.5450327329,4.08381893388,2.48383310352,0,2.95363769143,0.666267121441,0.157696853762,0.0,3.11729411919,0.368075355215,0.000527257799199,0.191426933711,0.000997805369355,0.0,,2.3988947554,0.00174109922426,2.59032168911,0.368075355215,2.95839704433,,0.000527257799199,
39,161.628350517,3145.04064075,0,421.003191801,0.0433590569609,0.843700971087,0.0,0.112939971952,26.9863956545,7.7215577891,-17.0,12.3707725619,39.3514829555,20.0,-17.0,27.5450327329,4.18131201128,2.66785652663,0,3.10678494565,0.682750694783,0.203570630926,0.0,3.79551483869,0.409217301751,0.000664484542377,0.25842861031,0.00185058978056,0.0,,3.29575580152,0.00441885828106,3.55418441183,0.409217301751,3.96340171358,,0.000664484542377,
40,161.596332932,3119.31724173,0,420.864126149,0.0436537107283,0.842653852782,0.0,0.11369243649,27.9863956545,8.7215577891,-16.0,13.3707725619,40.3514829555,21.0,-16.0,28.5450327329,4.27812969308,2.85272374979,0,3.26055380108,0.698909678071,0.2574699834,0.0,4.48692662737,0.452283407355,0.000829056423848,0.341194427778,0.0032806944264,0.0,,4.34173015361,0.0098595756259,4.68292458138,0.452283407355,5.13520798874,,0.000829056423848,
41,161.562637645,3092.84496312,0,420.721537369,0.0439610777126,0.841560894018,0.0,0.114478028269,28.9863956545,9.7215577891,-15.0,14.3707725619,41.3514829555,22.0,-15.0,29.5450327329,4.37427944775,3.03811723206,0,3.41484279548,0.71466233681,0.319937158229,0.0,5.18484254432,0.497123793891,0.00102449503371,0.441819334924,0.0055904749048,0.0,,5.53190268241,0.019896346262,5.97372201733,0.497123793891,6.47084581122,,0.00102449503371,
