,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl
221,0.0,259.159810952,0.0,0.0,0.0,1.0,0.0,0.0,199.0,206.78240478,199.0,199.0,199.0,221.0,199.0,199.0,0.0,16.1148844723,0.0,0.0,0.0,0.0,0.0,24.7423335981
222,0.0,256.938999757,0.0,0.0,0.0,1.0,0.0,0.0,200.0,207.78240478,200.0,200.0,200.0,222.0,200.0,200.0,0.0,16.1365454671,0.0,0.0,0.0,0.0,0.0,24.7315482424
223,0.0,254.741281243,0.0,0.0,0.0,1.0,0.0,0.0,201.0,208.78240478,201.0,201.0,201.0,223.0,201.0,201.0,0.0,16.15803905,0.0,0.0,0.0,0.0,0.0,24.7207425701
224,0.0,252.566411205,0.0,0.0,0.0,1.0,0.0,0.0,202.0,209.78240478,202.0,202.0,202.0,224.0,202.0,202.0,0.0,16.1793670487,0.0,0.0,0.0,0.0,0.0,24.7099168167
225,0.0,250.414147098,0.0,0.0,0.0,1.0,0.0,0.0,203.0,210.78240478,203.0,203.0,203.0,225.0,203.0,203.0,0.0,16.2005312656,0.0,0.0,0.0,0.0,0.0,24.6990712096
226,0.0,248.284248075,0.0,0.0,0.0,1.0,0.0,0.0,204.0,211.78240478,204.0,204.0,204.0,226.0,204.0,204.0,0.0,16.2215334783,0.0,0.0,0.0,0.0,0.0,24.6882059679
227,0.0,246.176475018,0.0,0.0,0.0,1.0,0.0,0.0,205.0,212.78240478,205.0,205.0,205.0,227.0,205.0,205.0,0.0,16.2423754402,0.0,0.0,0.0,0.0,0.0,24.6773213033
228,0.0,244.090590567,0.0,0.0,0.0,1.0,0.0,0.0,206.0,213.78240478,206.0,206.0,206.0,228.0,206.0,206.0,0.0,16.2630588805,0.0,0.0,0.0,0.0,0.0,24.6664174203
229,0.0,242.026359149,0.0,0.0,0.0,1.0,0.0,0.0,207.0,214.78240478,207.0,207.0,207.0,229.0,207.0,207.0,0.0,16.2835855046,0.0,0.0,0.0,0.0,0.0,24.6554945164
230,0.0,239.983547001,0.0,0.0,0.0,1.0,0.0,0.0,208.0,215.78240478,208.0,208.0,208.0,230.0,208.0,208.0,0.0,16.3039569951,0.0,0.0,0.0,0.0,0.0,24.6445527823
231,0.0,237.961922194,0.0,0.0,0.0,1.0,0.0,0.0,209.0,216.78240478,209.0,209.0,209.0,231.0,209.0,209.0,0.0,16.3241750114,0.0,0.0,0.0,0.0,0.0,24.6335924027
232,0.0,235.961254656,0.0,0.0,0.0,1.0,0.0,0.0,210.0,217.78240478,210.0,210.0,210.0,232.0,210.0,210.0,0.0,16.3442411904,0.0,0.0,0.0,0.0,0.0,24.6226135561
233,0.0,233.98131619,0.0,0.0,0.0,1.0,0.0,0.0,211.0,218.78240478,211.0,211.0,211.0,233.0,211.0,211.0,0.0,16.364157147,0.0,0.0,0.0,0.0,0.0,24.6116164152
234,0.0,232.021880489,0.0,0.0,0.0,1.0,0.0,0.0,212.0,219.78240478,212.0,212.0,212.0,234.0,212.0,212.0,0.0,16.3839244742,0.0,0.0,0.0,0.0,0.0,24.6006011472
235,0.0,230.082723158,0.0,0.0,0.0,1.0,0.0,0.0,213.0,220.78240478,213.0,213.0,213.0,235.0,213.0,213.0,0.0,16.4035447437,0.0,0.0,0.0,0.0,0.0,24.5895679142
236,0.0,228.163621722,0.0,0.0,0.0,1.0,0.0,0.0,214.0,221.78240478,214.0,214.0,214.0,236.0,214.0,214.0,0.0,16.4230195061,0.0,0.0,0.0,0.0,0.0,24.5785168731
237,0.0,226.264355641,0.0,0.0,0.0,1.0,0.0,0.0,215.0,222.78240478,215.0,215.0,215.0,237.0,215.0,215.0,0.0,16.4423502909,0.0,0.0,0.0,0.0,0.0,24.567448176
238,0.0,224.384706321,0.0,0.0,0.0,1.0,0.0,0.0,216.0,223.78240478,216.0,216.0,216.0,238.0,216.0,216.0,0.0,16.4615386078,0.0,0.0,0.0,0.0,0.0,24.5563619705
239,0.0,222.524457124,0.0,0.0,0.0,1.0,0.0,0.0,217.0,224.78240478,217.0,217.0,217.0,239.0,217.0,217.0,0.0,16.4805859458,0.0,0.0,0.0,0.0,0.0,24.5452583998
240,0.0,220.683393375,0.0,0.0,0.0,1.0,0.0,0.0,218.0,225.78240478,218.0,218.0,218.0,240.0,218.0,218.0,0.0,16.4994937745,0.0,0.0,0.0,0.0,0.0,24.5341376028
241,0.0,218.861302367,0.0,0.0,0.0,1.0,0.0,0.0,219.0,226.78240478,219.0,219.0,219.0,241.0,219.0,219.0,0.0,16.5182635438,0.0,0.0,0.0,0.0,0.0,24.5229997146
242,0.0,217.057973372,0.0,0.0,0.0,1.0,0.0,0.0,220.0,227.78240478,220.0,220.0,220.0,242.0,220.0,220.0,0.0,16.5368966847,0.0,0.0,0.0,0.0,0.0,24.5118448662
243,0.0,215.273197638,0.0,0.0,0.0,1.0,0.0,0.0,221.0,228.78240478,221.0,221.0,221.0,243.0,221.0,221.0,0.0,16.555394609,0.0,0.0,0.0,0.0,0.0,24.5006731852
244,0.0,213.506768399,0.0,0.0,0.0,1.0,0.0,0.0,222.0,229.78240478,222.0,222.0,222.0,244.0,222.0,222.0,0.0,16.5737587103,0.0,0.0,0.0,0.0,0.0,24.4894847955
245,0.0,211.758480869,0.0,0.0,0.0,1.0,0.0,0.0,223.0,230.78240478,223.0,223.0,223.0,245.0,223.0,223.0,0.0,16.5919903636,0.0,0.0,0.0,0.0,0.0,24.4782798176
246,0.0,210.028132253,0.0,0.0,0.0,1.0,0.0,0.0,224.0,231.78240478,224.0,224.0,224.0,246.0,224.0,224.0,0.0,16.6100909263,0.0,0.0,0.0,0.0,0.0,24.467058369
247,0.0,208.315521735,0.0,0.0,0.0,1.0,0.0,0.0,225.0,232.78240478,225.0,225.0,225.0,247.0,225.0,225.0,0.0,16.6280617376,0.0,0.0,0.0,0.0,0.0,24.455820564
248,0.0,206.620450488,0.0,0.0,0.0,1.0,0.0,0.0,226.0,233.78240478,226.0,226.0,226.0,248.0,226.0,226.0,0.0,16.6459041197,0.0,0.0,0.0,0.0,0.0,24.4445665139
249,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,24.4332963274
