         390556 function calls (381743 primitive calls) in 22.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.039    0.013    0.086    0.029 _version.py:7(<module>)
      152    0.007    0.000    0.085    0.001 __init__.py:2391(from_location)
        1    0.085    0.085    0.085    0.085 backend_agg.py:21(<module>)
    17606    0.083    0.000    0.083    0.000 {method 'startswith' of 'str' objects}
        1    0.058    0.058    0.082    0.082 pytables.py:4(<module>)
        1    0.000    0.000    0.080    0.080 core.py:714(__call__)
        1    0.000    0.000    0.080    0.080 core.py:637(main)
  187/143    0.005    0.000    0.078    0.001 pyparsing.py:3696(parseImpl)
        1    0.041    0.041    0.078    0.078 sparse.py:4(<module>)
        1    0.014    0.014    0.078    0.078 subprocess.py:14(<module>)
        1    0.026    0.026    0.076    0.076 frequencies.py:1(<module>)
        1    0.071    0.071    0.075    0.075 utils.py:4(<module>)
        1    0.042    0.042    0.074    0.074 cm.py:6(<module>)
        1    0.000    0.000    0.074    0.074 __init__.py:2502(_dep_map)
       19    0.074    0.004    0.074    0.004 {method 'read' of 'file' objects}
  104/103    0.001    0.000    0.073    0.001 pyparsing.py:3962(parseImpl)
        1    0.072    0.072    0.072    0.072 appdirs.py:9(<module>)
     6271    0.042    0.000    0.072    0.000 sre_parse.py:206(match)
      599    0.013    0.000    0.071    0.000 inspect.py:804(getargspec)
       21    0.071    0.003    0.071    0.003 {open}
        2    0.018    0.009    0.068    0.034 log.py:1(<module>)
        1    0.068    0.068    0.068    0.068 triangulation.py:1(<module>)
        1    0.028    0.028    0.068    0.068 internals.py:1(<module>)
       10    0.000    0.000    0.067    0.007 parser.py:74(parsestr)
   146/10    0.009    0.000    0.067    0.007 pyparsing.py:3278(streamline)
        2    0.041    0.020    0.067    0.033 __init__.py:10(<module>)
       10    0.001    0.000    0.067    0.007 parser.py:56(parse)
   101/74    0.001    0.000    0.067    0.001 pyparsing.py:3818(parseImpl)
 1086/428    0.016    0.000    0.066    0.000 pyparsing.py:131(_ustr)
        1    0.000    0.000    0.065    0.065 exceptions.py:41(show)
        1    0.034    0.034    0.065    0.065 chainmap.py:1(<module>)
        1    0.028    0.028    0.065    0.065 urllib.py:23(<module>)
      273    0.038    0.000    0.064    0.000 function_base.py:3944(add_newdoc)
        1    0.039    0.039    0.064    0.064 subprocess.py:387(<module>)
        1    0.000    0.000    0.062    0.062 core.py:485(get_usage)
        1    0.000    0.000    0.062    0.062 core.py:761(get_usage)
       12    0.000    0.000    0.061    0.005 feedparser.py:175(feed)
     2024    0.019    0.000    0.061    0.000 {method 'any' of 'numpy.ndarray' objects}
    12343    0.061    0.000    0.061    0.000 {method 'startswith' of 'unicode' objects}
       22    0.000    0.000    0.061    0.003 feedparser.py:180(_call_parse)
       22    0.010    0.000    0.061    0.003 feedparser.py:216(_parsegen)
1788/1780    0.021    0.000    0.061    0.000 {method 'join' of 'str' objects}
        1    0.011    0.011    0.060    0.060 version.py:4(<module>)
       39    0.035    0.001    0.060    0.002 __init__.py:1617(param)
        1    0.036    0.036    0.060    0.060 collections.py:11(<module>)
        1    0.039    0.039    0.060    0.060 window.py:7(<module>)
        1    0.025    0.025    0.060    0.060 gbq.py:1(<module>)
