         390556 function calls (381743 primitive calls) in 22.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 sql.py:936(SQLDatabase)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:4(<module>)
       27    0.000    0.000    0.000    0.000 __init__.py:2491(version)
        1    0.000    0.000    0.000    0.000 core.py:1089(resolve_command)
        1    0.000    0.000    0.000    0.000 _unicodefun.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:481(parser)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3110(__init__)
        7    0.000    0.000    0.000    0.000 legend_handler.py:135(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3327(And)
        1    0.000    0.000    0.000    0.000 cast.py:672(_possibly_infer_to_datetimelike)
        2    0.000    0.000    0.000    0.000 six.py:86(_LazyDescr)
        1    0.000    0.000    0.000    0.000 math.py:4(<module>)
        3    0.000    0.000    0.000    0.000 legend_handler.py:182(__init__)
        1    0.000    0.000    0.000    0.000 mathtext.py:1006(StandardPsFonts)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
       29    0.000    0.000    0.000    0.000 copy.py:198(_deepcopy_atomic)
        2    0.000    0.000    0.000    0.000 six.py:469(Module_six_moves_urllib)
        1    0.000    0.000    0.000    0.000 internals.py:2030(CategoricalBlock)
        3    0.000    0.000    0.000    0.000 re.py:290(filter)
       24    0.000    0.000    0.000    0.000 {_struct.calcsize}
        1    0.000    0.000    0.000    0.000 internals.py:2461(SparseBlock)
        2    0.000    0.000    0.000    0.000 locale.py:449(_parse_localename)
        3    0.000    0.000    0.000    0.000 rcsetup.py:528(validate_hinting)
       20    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        1    0.000    0.000    0.000    0.000 textpath.py:33(__init__)
       22    0.000    0.000    0.000    0.000 expr.py:226(_op_maker)
        1    0.000    0.000    0.000    0.000 types.py:66(fail)
       31    0.000    0.000    0.000    0.000 offsets.py:2916(<genexpr>)
        1    0.000    0.000    0.000    0.000 plotting.py:1550(PlanePlot)
        2    0.000    0.000    0.000    0.000 _compat.py:598(isatty)
        5    0.000    0.000    0.000    0.000 globals.py:29(push_context)
        4    0.000    0.000    0.000    0.000 docstring.py:39(__init__)
        1    0.000    0.000    0.000    0.000 image.py:63(_AxesImageBase)
        1    0.000    0.000    0.000    0.000 transforms.py:86(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:1167(_tzparser)
        1    0.000    0.000    0.000    0.000 core.py:114(Context)
       15    0.000    0.000    0.000    0.000 strings.py:1250(_noarg_wrapper)
        1    0.000    0.000    0.000    0.000 {posix.getcwdu}
        2    0.000    0.000    0.000    0.000 _abcoll.py:63(__subclasshook__)
        1    0.000    0.000    0.000    0.000 geo.py:255(AitoffAxes)
        1    0.000    0.000    0.000    0.000 {pandas.json.loads}
        1    0.000    0.000    0.000    0.000 sql.py:1362(SQLiteDatabase)
        6    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        1    0.000    0.000    0.000    0.000 _compat.py:206(filename_to_ui)
        3    0.000    0.000    0.000    0.000 rcsetup.py:493(validate_corner_mask)
        7    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        3    0.000    0.000    0.000    0.000 rcsetup.py:292(__call__)
        4    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:206(_resultbase)
        5    0.000    0.000    0.000    0.000 cbook.py:1311(__init__)
       21    0.000    0.000    0.000    0.000 pyparsing.py:3147(parseImpl)
       21    0.000    0.000    0.000    0.000 function.py:30(__init__)
        1    0.000    0.000    0.000    0.000 groupby.py:1522(BaseGrouper)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        5    0.000    0.000    0.000    0.000 {_locale.setlocale}
        1    0.000    0.000    0.000    0.000 numeric.py:2279(identity)
       20    0.000    0.000    0.000    0.000 __init__.py:2784(reqs_for_extra)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3873(__str__)
       19    0.000    0.000    0.000    0.000 strings.py:1289(do_copy)
        1    0.000    0.000    0.000    0.000 __init__.py:113(get_projection_names)
       27    0.000    0.000    0.000    0.000 decimal.py:3817(<genexpr>)
       28    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 quiver.py:871(Barbs)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 codecs.py:302(__init__)
        1    0.000    0.000    0.000    0.000 fama_macbeth.py:31(FamaMacBeth)
        1    0.000    0.000    0.000    0.000 rrule.py:1284(rruleset)
        3    0.000    0.000    0.000    0.000 dtypes.py:170(__new__)
        4    0.000    0.000    0.000    0.000 legend_handler.py:165(__init__)
        1    0.000    0.000    0.000    0.000 range.py:548(_add_numeric_methods_binary)
        1    0.000    0.000    0.000    0.000 __init__.py:918(update)
       27    0.000    0.000    0.000    0.000 decimal.py:3810(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat.py:126(seekable)
        1    0.000    0.000    0.000    0.000 indexing.py:1341(_LocIndexer)
        2    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 atexit.py:37(register)
        2    0.000    0.000    0.000    0.000 locale.py:365(normalize)
        1    0.000    0.000    0.000    0.000 pytables.py:1769(__init__)
        4    0.000    0.000    0.000    0.000 {method 'splitlines' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 offsets.py:1665(WeekOfMonth)
        1    0.000    0.000    0.000    0.000 groupby.py:337(_GroupBy)
        1    0.000    0.000    0.000    0.000 backports_abc.py:31(Generator)
        1    0.000    0.000    0.000    0.000 errors.py:16(DistutilsModuleError)
       19    0.000    0.000    0.000    0.000 strings.py:1286(copy)
        1    0.000    0.000    0.000    0.000 offsets.py:2254(FY5253)
        4    0.000    0.000    0.000    0.000 tempfile.py:221(_get_candidate_names)
        5    0.000    0.000    0.000    0.000 globals.py:34(pop_context)
        2    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 offsets.py:947(__init__)
        1    0.000    0.000    0.000    0.000 offsets.py:1373(BusinessMonthEnd)
        2    0.000    0.000    0.000    0.000 _compat.py:75(isatty)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
        4    0.000    0.000    0.000    0.000 tdi.py:125(_join_i8_wrapper)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
        1    0.000    0.000    0.000    0.000 offsets.py:2109(BYearBegin)
       21    0.000    0.000    0.000    0.000 index.py:63(_field_accessor)
       20    0.000    0.000    0.000    0.000 feedparser.py:147(__iter__)
        1    0.000    0.000    0.000    0.000 bezier.py:155(BezierSegment)
        1    0.000    0.000    0.000    0.000 offsets.py:2478(FY5253Quarter)
        1    0.000    0.000    0.000    0.000 offsets.py:1762(LastWeekOfMonth)
        1    0.000    0.000    0.000    0.000 sysconfig.py:522(get_platform)
       17    0.000    0.000    0.000    0.000 {cmp}
       18    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 offsets.py:2636(Easter)
        4    0.000    0.000    0.000    0.000 rcsetup.py:449(validate_ps_distiller)
        1    0.000    0.000    0.000    0.000 offsets.py:1437(CustomBusinessMonthEnd)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2504(CloseMatch)
        1    0.000    0.000    0.000    0.000 __init__.py:672(_decode_filesystem_path)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:241(Verbose)
        1    0.000    0.000    0.000    0.000 hermite.py:1815(Hermite)
        3    0.000    0.000    0.000    0.000 pytables.py:1446(__init__)
        1    0.000    0.000    0.000    0.000 offsets.py:1879(BQuarterEnd)
        1    0.000    0.000    0.000    0.000 offsets.py:1929(BQuarterBegin)
        1    0.000    0.000    0.000    0.000 offsets.py:1399(BusinessMonthBegin)
        7    0.000    0.000    0.000    0.000 config.py:793(inner)
        1    0.000    0.000    0.000    0.000 offsets.py:1497(CustomBusinessMonthBegin)
       16    0.000    0.000    0.000    0.000 six.py:75(_add_doc)
        1    0.000    0.000    0.000    0.000 records.py:215(record)
       20    0.000    0.000    0.000    0.000 ops.py:1306(_arith_method_PANEL)
        7    0.000    0.000    0.000    0.000 config.py:781(inner)
        7    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 stackplot.py:8(<module>)
        4    0.000    0.000    0.000    0.000 config.py:278(valid_ident)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4156(__str__)
       21    0.000    0.000    0.000    0.000 config.py:718(wrap)
        1    0.000    0.000    0.000    0.000 exceptions.py:69(__init__)
        2    0.000    0.000    0.000    0.000 {method 'throw' of 'generator' objects}
        4    0.000    0.000    0.000    0.000 {method 'rstrip' of 'unicode' objects}
        2    0.000    0.000    0.000    0.000 six.py:112(_resolve)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        4    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 __init__.py:31(get_projection_names)
       13    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 mathtext.py:102(MathtextBackend)
        1    0.000    0.000    0.000    0.000 pyplot.py:120(install_repl_displayhook)
        4    0.000    0.000    0.000    0.000 _apipkg.py:161(AliasModule)
        1    0.000    0.000    0.000    0.000 _compat.py:38(get_best_encoding)
        2    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1275(addCondition)
       14    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
        2    0.000    0.000    0.000    0.000 parser.py:284(_process_args_for_options)
        3    0.000    0.000    0.000    0.000 function_base.py:2162(__init__)
       16    0.000    0.000    0.000    0.000 base.py:3521(_make_evaluate_unary)
        1    0.000    0.000    0.000    0.000 _subplots.py:160(subplot_class_factory)
        3    0.000    0.000    0.000    0.000 textwrap.py:146(_munge_whitespace)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 frequencies.py:49(Resolution)
        3    0.000    0.000    0.000    0.000 legend_handler.py:294(__init__)
        3    0.000    0.000    0.000    0.000 core.py:1714(_parse_decls)
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
        1    0.000    0.000    0.000    0.000 range.py:124(_simple_new)
        3    0.000    0.000    0.000    0.000 core.py:1660(value_from_envvar)
        1    0.000    0.000    0.000    0.000 __init__.py:372(__getattr__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:822(expand_template)
        1    0.000    0.000    0.000    0.000 _compat.py:69(__del__)
       21    0.000    0.000    0.000    0.000 parser.py:90(normalize_opt)
        1    0.000    0.000    0.000    0.000 info.py:154(<module>)
        6    0.000    0.000    0.000    0.000 {numpy.core.multiarray.result_type}
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        2    0.000    0.000    0.000    0.000 {reduce}
        1    0.000    0.000    0.000    0.000 table.py:40(Cell)
        1    0.000    0.000    0.000    0.000 config.py:170(get_default_val)
       18    0.000    0.000    0.000    0.000 __init__.py:2901(cls)
        9    0.000    0.000    0.000    0.000 getlimits.py:256(min)
        2    0.000    0.000    0.000    0.000 globals.py:39(resolve_color_default)
        3    0.000    0.000    0.000    0.000 warnings.py:340(__init__)
        4    0.000    0.000    0.000    0.000 string.py:283(split)
        4    0.000    0.000    0.000    0.000 __init__.py:308(wrap)
       17    0.000    0.000    0.000    0.000 config.py:754(inner)
        2    0.000    0.000    0.000    0.000 getlimits.py:148(<lambda>)
        9    0.000    0.000    0.000    0.000 cbook.py:140(deprecated)
        1    0.000    0.000    0.000    0.000 specifiers.py:21(BaseSpecifier)
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        1    0.000    0.000    0.000    0.000 testing.py:62(set_testing_mode)
        1    0.000    0.000    0.000    0.000 pytables.py:385(HDFStore)
       11    0.000    0.000    0.000    0.000 legend_handler.py:61(__init__)
        5    0.000    0.000    0.000    0.000 fractions.py:280(_operator_fallbacks)
        6    0.000    0.000    0.000    0.000 {numpy.core.multiarray.arange}
       12    0.000    0.000    0.000    0.000 getlimits.py:13(_frz)
        1    0.000    0.000    0.000    0.000 excel.py:883(_Openpyxl20Writer)
       19    0.000    0.000    0.000    0.000 posixpath.py:44(normcase)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
        4    0.000    0.000    0.000    0.000 codecs.py:311(decode)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
       16    0.000    0.000    0.000    0.000 version.py:57(<lambda>)
        1    0.000    0.000    0.000    0.000 exceptions.py:75(format_message)
        3    0.000    0.000    0.000    0.000 codecs.py:92(__new__)
        1    0.000    0.000    0.000    0.000 base.py:33(DatelikeOps)
        1    0.000    0.000    0.000    0.000 axis.py:611(Axis)
        2    0.000    0.000    0.000    0.000 parser.py:39(_fetch)
        2    0.000    0.000    0.000    0.000 core.py:65(invoke_param_callback)
        1    0.000    0.000    0.000    0.000 date_converters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
       11    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
        1    0.000    0.000    0.000    0.000 chainmap_impl.py:12(decorating_function)
        8    0.000    0.000    0.000    0.000 base.py:142(_join_i8_wrapper)
       11    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        3    0.000    0.000    0.000    0.000 rcsetup.py:552(validate_bbox)
        1    0.000    0.000    0.000    0.000 pickle.py:833(Unpickler)
        2    0.000    0.000    0.000    0.000 os.py:472(__setitem__)
        1    0.000    0.000    0.000    0.000 parser.py:1169(_result)
        1    0.000    0.000    0.000    0.000 decorators.py:121(group)
       10    0.000    0.000    0.000    0.000 __init__.py:587(__init__)
        1    0.000    0.000    0.000    0.000 transforms.py:775(Bbox)
        9    0.000    0.000    0.000    0.000 rcsetup.py:73(_listify_validator)
        1    0.000    0.000    0.000    0.000 expr.py:684(PandasExprVisitor)
        3    0.000    0.000    0.000    0.000 rcsetup.py:482(validate_negative_linestyle_legacy)
        1    0.000    0.000    0.000    0.000 geo.py:414(MollweideAxes)
        1    0.000    0.000    0.000    0.000 offsets.py:2787(Day)
        5    0.000    0.000    0.000    0.000 machar.py:100(<lambda>)
        6    0.000    0.000    0.000    0.000 six.py:124(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:37(__init__)
        6    0.000    0.000    0.000    0.000 config.py:108(_encoded)
        1    0.000    0.000    0.000    0.000 handlers.py:1169(MemoryHandler)
        1    0.000    0.000    0.000    0.000 triangulation.py:11(Triangulation)
        1    0.000    0.000    0.000    0.000 mathtext.py:3078(__init__)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 tight_bbox.py:3(<module>)
        4    0.000    0.000    0.000    0.000 _compat.py:511(strip_ansi)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 cycler.py:77(Cycler)
        2    0.000    0.000    0.000    0.000 numeric.py:1871(set_string_function)
        3    0.000    0.000    0.000    0.000 numeric.py:2963(__init__)
        1    0.000    0.000    0.000    0.000 ticker.py:392(ScalarFormatter)
        1    0.000    0.000    0.000    0.000 easter.py:5(<module>)
        4    0.000    0.000    0.000    0.000 common.py:8(<genexpr>)
        1    0.000    0.000    0.000    0.000 internals.py:4000(SingleBlockManager)
        2    0.000    0.000    0.000    0.000 {binascii.hexlify}
       12    0.000    0.000    0.000    0.000 ops.py:869(_bool_method_SERIES)
        1    0.000    0.000    0.000    0.000 {method 'detach' of '_io.TextIOWrapper' objects}
       13    0.000    0.000    0.000    0.000 __init__.py:1023(<genexpr>)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 pytables.py:2329(GenericFixed)
        1    0.000    0.000    0.000    0.000 window.py:626(_GroupByMixin)
        1    0.000    0.000    0.000    0.000 legend_handler.py:506(__init__)
        1    0.000    0.000    0.000    0.000 numeric.py:148(ones)
        1    0.000    0.000    0.000    0.000 _cm.py:59(cubehelix)
        1    0.000    0.000    0.000    0.000 mathtext.py:3057(MathTextParser)
        1    0.000    0.000    0.000    0.000 category.py:587(_add_comparison_methods)
        3    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 appdirs.py:365(AppDirs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        2    0.000    0.000    0.000    0.000 expr.py:134(_is_type)
       12    0.000    0.000    0.000    0.000 resample.py:133(_make_deprecated_binop)
        1    0.000    0.000    0.000    0.000 transforms.py:2055(BlendedGenericTransform)
        1    0.000    0.000    0.000    0.000 urllib2.py:778(HTTPPasswordMgr)
        1    0.000    0.000    0.000    0.000 _compat.py:103(readable)
        4    0.000    0.000    0.000    0.000 string.py:473(expandtabs)
        3    0.000    0.000    0.000    0.000 _compat.py:605(_make_cached_stream_func)
        1    0.000    0.000    0.000    0.000 defmatrix.py:208(matrix)
        2    0.000    0.000    0.000    0.000 mlab.py:3031(__init__)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:603(obj2sctype)
       14    0.000    0.000    0.000    0.000 generic.py:218(<genexpr>)
        1    0.000    0.000    0.000    0.000 quiver.py:227(QuiverKey)
        1    0.000    0.000    0.000    0.000 gbq.py:873(_Table)
        1    0.000    0.000    0.000    0.000 twodim_base.py:192(eye)
        1    0.000    0.000    0.000    0.000 generic.py:2746(__setattr__)
        3    0.000    0.000    0.000    0.000 warnings.py:361(__enter__)
        1    0.000    0.000    0.000    0.000 expr.py:703(Expr)
        1    0.000    0.000    0.000    0.000 indexing.py:53(_NDFrameIndexer)
        1    0.000    0.000    0.000    0.000 backend_tools.py:318(ToolQuit)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4255(postParse)
        2    0.000    0.000    0.000    0.000 _compat.py:594(term_len)
        1    0.000    0.000    0.000    0.000 backend_bases.py:198(RendererBase)
       12    0.000    0.000    0.000    0.000 period.py:48(_field_accessor)
        1    0.000    0.000    0.000    0.000 core.py:27(_bashcomplete)
        1    0.000    0.000    0.000    0.000 base.py:3309(_add_comparison_methods)
        1    0.000    0.000    0.000    0.000 pytables.py:2703(SeriesFixed)
        1    0.000    0.000    0.000    0.000 threading.py:631(Thread)
        1    0.000    0.000    0.000    0.000 offsets.py:2792(Hour)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:1633(RectangleSelector)
        1    0.000    0.000    0.000    0.000 parsers.py:1738(PythonParser)
        1    0.000    0.000    0.000    0.000 core.py:6104(MaskedConstant)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:19(<module>)
        3    0.000    0.000    0.000    0.000 warnings.py:377(__exit__)
        1    0.000    0.000    0.000    0.000 groupby.py:156(Grouper)
        2    0.000    0.000    0.000    0.000 config.py:476(deprecate_option)
        6    0.000    0.000    0.000    0.000 period.py:70(_period_index_cmp)
        2    0.000    0.000    0.000    0.000 globals.py:7(get_current_context)
        1    0.000    0.000    0.000    0.000 axis.py:27(Tick)
        5    0.000    0.000    0.000    0.000 base.py:232(__init__)
       10    0.000    0.000    0.000    0.000 patches.py:1801(<genexpr>)
        1    0.000    0.000    0.000    0.000 zipfile.py:709(ZipFile)
        1    0.000    0.000    0.000    0.000 blocking_input.py:36(BlockingInput)
        1    0.000    0.000    0.000    0.000 pytables.py:1428(IndexCol)
        2    0.000    0.000    0.000    0.000 base.py:3351(_add_numeric_methods_add_sub_disabled)
        9    0.000    0.000    0.000    0.000 rcsetup.py:582(__init__)
       12    0.000    0.000    0.000    0.000 algorithms.py:778(_view_wrapper)
        3    0.000    0.000    0.000    0.000 _compat.py:17(get_filesystem_encoding)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2041(Chebyshev)
       10    0.000    0.000    0.000    0.000 message.py:218(set_payload)
        1    0.000    0.000    0.000    0.000 font_manager.py:597(FontProperties)
        3    0.000    0.000    0.000    0.000 core.py:1651(resolve_envvar_value)
        2    0.000    0.000    0.000    0.000 pyparsing.py:291(_ParseResultsWithOffset)
        1    0.000    0.000    0.000    0.000 polynomial.py:940(poly1d)
        1    0.000    0.000    0.000    0.000 extras.py:1414(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3023(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:400(notifyAll)
        1    0.000    0.000    0.000    0.000 plotting.py:866(MPLPlot)
        2    0.000    0.000    0.000    0.000 weakref.py:277(__new__)
        1    0.000    0.000    0.000    0.000 widgets.py:27(LockDraw)
        3    0.000    0.000    0.000    0.000 _compat.py:145(is_bytes)
        1    0.000    0.000    0.000    0.000 pytables.py:1730(DataCol)
        4    0.000    0.000    0.000    0.000 string.py:310(join)
        1    0.000    0.000    0.000    0.000 cbook.py:1648(Grouper)
        3    0.000    0.000    0.000    0.000 rcsetup.py:565(validate_sketch)
        2    0.000    0.000    0.000    0.000 tokenize.py:47(maybe)
       11    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 mathtext.py:663(BakomaFonts)
        1    0.000    0.000    0.000    0.000 posixpath.py:82(split)
        1    0.000    0.000    0.000    0.000 plotting.py:252(__init__)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:36(getregentry)
       10    0.000    0.000    0.000    0.000 six.py:181(_get_module)
        3    0.000    0.000    0.000    0.000 rcsetup.py:131(validate_bool_maybe_none)
        1    0.000    0.000    0.000    0.000 offsets.py:964(get_calendar)
        2    0.000    0.000    0.000    0.000 __init__.py:717(setLevel)
       12    0.000    0.000    0.000    0.000 decorators.py:156(option)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 table.py:216(Table)
        1    0.000    0.000    0.000    0.000 six.py:453(Module_six_moves_urllib)
        1    0.000    0.000    0.000    0.000 core.py:1732(add_to_parser)
        9    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 base.py:262(SelectionMixin)
        1    0.000    0.000    0.000    0.000 internals.py:2304(DatetimeTZBlock)
        1    0.000    0.000    0.000    0.000 config.py:78(_get_single_key)
        8    0.000    0.000    0.000    0.000 mathtext.py:1734(__init__)
       10    0.000    0.000    0.000    0.000 core.py:80(augment_usage_errors)
        1    0.000    0.000    0.000    0.000 _compat.py:80(_FixupStream)
        1    0.000    0.000    0.000    0.000 offsets.py:2807(Milli)
        3    0.000    0.000    0.000    0.000 core.py:805(__init__)
        7    0.000    0.000    0.000    0.000 offsets.py:202(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:379(__getitem__)
        1    0.000    0.000    0.000    0.000 rfc822.py:85(Message)
        1    0.000    0.000    0.000    0.000 testing.py:2640(SubclassedSeries)
        4    0.000    0.000    0.000    0.000 stat.py:49(S_ISREG)
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
        1    0.000    0.000    0.000    0.000 offsets.py:2797(Minute)
        1    0.000    0.000    0.000    0.000 dates.py:733(DateLocator)
        1    0.000    0.000    0.000    0.000 converter.py:53(register)
        1    0.000    0.000    0.000    0.000 index_tricks.py:447(__init__)
        8    0.000    0.000    0.000    0.000 six.py:73(_add_doc)
        2    0.000    0.000    0.000    0.000 weakref.py:88(__contains__)
        1    0.000    0.000    0.000    0.000 legend_handler.py:394(__init__)
        1    0.000    0.000    0.000    0.000 offsets.py:2802(Second)
        1    0.000    0.000    0.000    0.000 ops.py:44(Term)
        1    0.000    0.000    0.000    0.000 laguerre.py:1765(Laguerre)
        1    0.000    0.000    0.000    0.000 backend_bases.py:769(GraphicsContextBase)
        1    0.000    0.000    0.000    0.000 openpyxl_compat.py:5(<module>)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        3    0.000    0.000    0.000    0.000 core.py:1140(add_command)
        1    0.000    0.000    0.000    0.000 pickle.py:171(Pickler)
        1    0.000    0.000    0.000    0.000 converter.py:283(MilliSecondLocator)
        1    0.000    0.000    0.000    0.000 relativedelta.py:45(relativedelta)
        4    0.000    0.000    0.000    0.000 weakref.py:297(__init__)
        1    0.000    0.000    0.000    0.000 dates.py:156(_UTC)
        1    0.000    0.000    0.000    0.000 testing.py:78(TestCase)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 html.py:380(_BeautifulSoupHtml5LibFrameParser)
        3    0.000    0.000    0.000    0.000 types.py:220(convert)
        1    0.000    0.000    0.000    0.000 encoder.py:70(JSONEncoder)
        2    0.000    0.000    0.000    0.000 common.py:406(_validate_date_like_dtype)
        1    0.000    0.000    0.000    0.000 mathtext.py:545(TruetypeFonts)
        1    0.000    0.000    0.000    0.000 ticker.py:193(TickHelper)
        8    0.000    0.000    0.000    0.000 frequencies.py:1147(<genexpr>)
        3    0.000    0.000    0.000    0.000 {posix.getcwd}
        1    0.000    0.000    0.000    0.000 axis.py:334(XTick)
        6    0.000    0.000    0.000    0.000 categorical.py:41(_cat_compare_op)
        1    0.000    0.000    0.000    0.000 ssl.py:495(_get_https_context_factory)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2649(_Base)
        1    0.000    0.000    0.000    0.000 exceptions.py:11(__init__)
       10    0.000    0.000    0.000    0.000 generic.py:221(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(__init__)
        1    0.000    0.000    0.000    0.000 ticker.py:1322(MaxNLocator)
        1    0.000    0.000    0.000    0.000 arrayprint.py:712(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:4278(AppendablePanelTable)
        1    0.000    0.000    0.000    0.000 scope.py:78(Scope)
        1    0.000    0.000    0.000    0.000 urllib2.py:177(HTTPError)
        1    0.000    0.000    0.000    0.000 offsets.py:2812(Micro)
        1    0.000    0.000    0.000    0.000 __init__.py:195(UTC)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2664(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 common.py:57(is_sparse)
        1    0.000    0.000    0.000    0.000 core.py:6111(__new__)
        1    0.000    0.000    0.000    0.000 decoder.py:370(raw_decode)
        1    0.000    0.000    0.000    0.000 parser.py:191(OptionParser)
        2    0.000    0.000    0.000    0.000 six.py:164(_SixMetaPathImporter)
        1    0.000    0.000    0.000    0.000 cli.py:28(cli)
        8    0.000    0.000    0.000    0.000 version.py:54(<lambda>)
       13    0.000    0.000    0.000    0.000 offsets.py:1925(<genexpr>)
        1    0.000    0.000    0.000    0.000 tzinfo.py:16(memorized_timedelta)
        1    0.000    0.000    0.000    0.000 offsets.py:2817(Nano)
        1    0.000    0.000    0.000    0.000 urllib.py:120(URLopener)
        2    0.000    0.000    0.000    0.000 inference.py:53(is_list_like)
